Id;Name;Country;CountryCode;Domain;WebPage;Localization;Abbreviations;CreationDate;UpdateDate;CreatedByUserId;UpdatedByUserId;Deleted;Actualizar universidade;Actualizar faculdade;Actualizar flag (F / V);"Eliminar universidade (""x"")";"Not Listed Institution (""x"")";"Eliminar faculdades (""x"")";"Mudar API List Name (""x"")";=;Fuzzy LookUp Match All Universities -- API LIST
85c5fdb5-6677-43eb-954f-756ef26a9bab;Universidade de Coimbra - Faculdade de Ciências e Tecnologia;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Universidade de Coimbra
5bdfd8f4-6c35-4968-a5a4-76244c75df44;Instituto Politécnico do Porto - Escola Superior de Música e Artes do Espectáculo;;;;;;;44444.85111;;;;FALSO;;;;;;;x;N;Instituto Politecnico do Porto
3df96861-8b28-44c2-a4ed-76d44b1759d0;Instituto Politécnico de Castelo Branco - Escola Superior de Educação de Castelo Branco;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Instituto Politécnico de Castelo Branco
a43ad7a6-f06e-4696-b9e1-77535224cd90;Escola profissional de Tondela;;;;;;;44521.47617;;;;VERDADEIRO;;;;;x;;;N;
38f55050-1082-40fb-ad94-7824cb9bdc23;Instituto Superior de Estudos Interculturais e Transdisciplinares de Almada;;;;;;;44444.85111;;;;FALSO;;;;;;;;N;
7bcf690c-707a-43a6-acce-786ce72d848d;Instituto Superior de Ciências da Informação e da Administração;;;;;;;44444.85111;;;;FALSO;;;;;;;;N;
6c041391-4aea-464e-9b60-78c8df4e20a0;National Research University Higher School of Economics;;;;;;;44457.74001;;;;VERDADEIRO;National Research University;Higher School of Economics;F;;;;;N;
78ee4b59-11b0-43ed-ba64-79bae27f04c2;Instituto Politécnico do Porto - Escola Superior de Hotelaria e Turismo;;;;;;;44444.85111;;;;FALSO;;;;;;;x;N;Instituto Politecnico do Porto
4b2b6016-bb75-4f86-9e6d-7a0c8e21f7c8;Lusíada Lisboa;;;;;;;44515.83084;;;;VERDADEIRO;Universidade Lusíada;;F;;;;;N;
046d237e-135e-44fc-af58-7b2e4f558cd9;universidade coimbra;;;;;;;44515.71185;;;;VERDADEIRO;Universidade de Coimbra;;F;;;;;N;Universidade de Coimbra
51bf70d7-b50d-42fe-90e1-7b9c23e7e9cc;Instituto Politécnico do Cávado e do Ave - Escola Superior de Tecnologia;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Instituto Politécnico do Cávado e do Ave
f164f2ff-51e0-458b-b0eb-7b9e401d76a3;Universidade de Trás-os-Montes e Alto Douro - Escola de Ciências da Vida e do Ambiente;;;;;;;44444.85111;;;;FALSO;Universidade de Trás-os-Montes e Alto Douro;Escola de Ciências da Vida e do Ambiente;;;;;x;N;Universidade de Tras-os-Montes e Alto Douro
547e662f-d10f-4b67-bc27-7bcef0a1af5a;Universidade Nova de Lisboa - Faculdade de Ciências e Tecnologia;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Universidade Nova de Lisboa
45ce22fb-4c07-4d52-9ded-7c0226d7f685;Universidade Nova de Lisboa - Faculdade de Ciências Sociais e Humanas;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Universidade Nova de Lisboa
96b74692-6258-491f-8676-7c5c638276c1;Universidade Lusiada Lisboa;;;;;;;44498.52556;;;;VERDADEIRO;Universidade Lusíada;;F;;;;x;N;Universidade Lusiada
891cc7a0-a922-4a5e-b76b-7c8f770a127e;Universidade de Caxias do Sul;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Universidade de Caxias do Sul
3374a730-3c47-430e-92d3-7d1471e7f51d;Faculdade de Economia da Universidade de Coimbra;;;;;;;44473.63441;;;;VERDADEIRO;Universidade de Coimbra ;Faculdade de Economia;F;;;;;N;
ab542c45-a78b-4940-9147-7d46f605c894;Rafael Bordalo Pinheiro;;;;;;;44524.93757;;;;VERDADEIRO;;;;x;;;;N;
d058d081-10a8-488b-b2a4-7d76ed2eef4d;Instituto Politécnico de Santarém - Escola Superior de Desporto de Rio Maior;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Instituto Politécnico de Santarém
121c89dd-b647-489b-841d-7dac66795962;Edinburgh Napier University;;;;;;;44454.83912;;;;VERDADEIRO;University of Edinburgh;;F;;;;;N;University of Edinburgh
bc60bcb6-2848-4066-8c37-7e4a529e8222;Instituto Politécnico de Lisboa - Escola Superior de Música;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Instituto Politécnico de Lisboa
2d8f89d2-3aa4-4e16-913e-7f5ada7a6772;esalv;;;;;;;44507.61962;;;;VERDADEIRO;Escola Secundária Afonso Lopes Vieira;;;;x;;;N;
f9af7fc3-ec40-4d6a-943b-810637d39850;Instituto Politécnico de Santarém - Escola Superior de Saúde de Santarém;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Instituto Politécnico de Santarém
fe707603-77d0-455d-8662-824feb79c80a;Coventry University UK;;;;;;;44444.85111;;;;FALSO;Coventry University;;;;;;;N;Coventry University
118fe0f4-ae5b-4848-a578-82eace7c8741;Universidade dos Açores - Escola Superior de Saúde - Ponta Delgada;;;;;;;44444.85111;;;;FALSO;;;;;;;x;N;Universidade dos Acores
6d7ee128-0c28-4346-a592-838ce3942d9d;IFPI;;;;;;;44496.60584;;;;VERDADEIRO;Instituto Federal do Piauí;;F;;;;;N;
f270b753-fc95-422a-a142-83e95b377e66;Dual Porto;;;;;;;44525.44896;;;;VERDADEIRO;;;;;x;;;N;
0b35ddf3-309e-4187-9648-841615eb25cd;Escola Superior de Turismo e Hotelaria do Estoril;;;;;;;44444.85111;;;;FALSO;Escola Superior de Hotelaria e Turismo do Estoril;;;;;;;N;Escola Superior de Hotelaria e Turismo do Estoril
64bece7f-f50c-4674-b294-84f379199eed;Instituto Politécnico de Lisboa - Escola Superior de Dança;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Instituto Politécnico de Lisboa
68318dbb-0487-467c-84a8-85c82fea03f5;Instituto Politécnico de Beja - Escola Superior de Tecnologia e de Gestão;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Instituto Politécnico de Beja
5d57bfe4-e54c-4762-8591-86b606c74d8e;Universidad Complutense de Madrid;;;;;;;44468.30404;;;;VERDADEIRO;;;F;;;;;Y;Universidad Complutense de Madrid
4741d4a0-339d-4cf1-bcbe-87c9bd2dedd7;Universidade do Porto - Faculdade de Medicina;;;;;;;44444.85111;;;;FALSO;;;;;;;;Y;Universidade do Porto
