Id;Name;CreationDate;UpdateDate;CreatedByUserId;UpdatedByUserId;Deleted;Caso;New Univeristy Name
364da659-c2cf-4490-a44f-148e0bb734ce;IADE - Creative University;2021-09-14 08:55:10;;;;VERDADEIRO;;
0511d7d3-3467-4ef6-8cab-150a9a3a3b40;Escola Superior de Enfermagem de Coimbra;2021-09-05 20:25:36;;;;FALSO;;
91243fe1-8433-43fd-8f1c-155a719d9c09;nada;2021-10-29 11:38:12;;;;VERDADEIRO;;
31e1a75f-d99b-482d-a042-15bbe3f90856;uftm;2021-09-05 20:25:36;;;;FALSO;;
d2e5e687-61bd-43ad-b33b-1777f2033ea2;Universidade Federal do Rio Grande do Sul;2021-09-16 13:12:46;;;;VERDADEIRO;;
fbdc0cf0-c5c5-4ad8-965c-18ca7874e201;Instituto Politécnico de Bragança - Escola Superior de Tecnologia e de Gestão de Bragança;2021-09-05 20:25:36;;;;FALSO;;
80bce192-80be-43bc-a17f-1b8cdf1026b9;UNIVERCIDADE;2021-09-16 15:00:22;;;;VERDADEIRO;;
d066bb83-9322-471d-8674-2047bf231141;instituto superior de contabilidade e administração de Lisboa;2021-09-16 14:15:08;;;;VERDADEIRO;;
9bd0a11c-41c3-4d98-9eb3-20c43ac2972b;Escola Superior de Saúde da Cruz Vermelha Portuguesa - Lisboa;2021-09-05 20:25:36;;;;FALSO;;
b12fe395-5781-4f6f-a7a6-22a602f2e2b9;Porto Business School;2021-09-14 12:51:41;;;;VERDADEIRO;;
0fd0d40e-df76-462a-8e3d-27b3cb2b03fc;Escola Superior de Educação de Paula Frassinetti;2021-09-05 20:25:36;;;;FALSO;;
96b7f7d8-12f7-40bc-b3b1-27ee37a3193c;Instituto Politécnico de Lisboa - Escola Superior de Teatro e Cinema;2021-09-05 20:25:36;;;;FALSO;;
6ec89358-773c-4760-8d50-27f4286fd013;IADE;2021-09-05 20:25:36;;;;FALSO;;
4af37646-2d7e-402b-9234-281dfbb92f53;Universidade Católica Portuguesa - Faculdade de Direito (Porto);2021-09-05 20:25:36;;;;FALSO;;
e51ef759-4405-4288-8d41-29fad5eb04fb;University of Amsterdam;2021-09-05 20:25:36;;;;FALSO;;
be454b13-2e26-4472-887b-2a3fdf970adb;Universidade De Direito de Lisboa;2021-09-05 20:25:36;;;;FALSO;;
95e58802-9c2a-47a0-8c0f-2c634854dd19;FACHA;2021-09-05 20:25:36;;;;FALSO;;
648e858c-9596-429e-9b59-2e250afea0ed;universidade do minho - direito;2021-09-05 20:25:36;;;;FALSO;;
593bc88b-2eb7-4664-a7c4-2eb9f2e8b645;Universidades de Portugal;2021-10-27 11:02:59;;;;VERDADEIRO;;
2543665d-f7f8-46e5-9368-31fed1fbbe3f;Católica Lisbon School of Business and Economics;2021-09-18 14:29:25;;;;VERDADEIRO;;
31168507-922e-4fe0-a185-3254e5c0f971;Universidade da Madeira - Faculdade de Ciências Exatas e da Engenharia;2021-09-05 20:25:36;;;;FALSO;;
23faf9ff-60d3-40be-ae35-325821776f47;Estácio de Sá;2021-09-05 20:25:36;;;;FALSO;;
0ad1a8c0-5164-4f31-8c4d-32718f728c2a;UFAL;2021-09-30 12:02:57;;;;VERDADEIRO;;
540c2be5-862b-4033-b320-338ce56f4f7a;universidade São Tomás de Moçambique;2021-10-11 09:44:05;;;;VERDADEIRO;;
0a2735a2-71c2-480f-830e-33c2d36be113;Nova SBE;2021-10-19 09:01:57;;;;VERDADEIRO;;
